207,Sheraton Miyako Hotel Tokyo,"b'Putting you within a 10-minute drive of Tokyo Tower and Tokyo Imperial Palace, Sheraton Miyako Hotel Tokyo offers an airport shuttle (available on request) for JPY 3200 per person. Guests can be pampered with massages at the spa, and Cafe California, one of 5 restaurants, serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include 2 bars/lounges, an indoor pool, and a health club. Public transportation is just a short walk: Shirokane-takanawa Station is 6 minutes and Shirokanedai Station is 7 minutes.   '"
539,Grand Prince Hotel Shin Takanawa,"b'Grand Prince Hotel Shin Takanawa puts you just a 5-minute drive from Tokyo Tower and Tokyo Bay. Guests can be pampered with massages at the spa, and Koki-Den, one of 2 restaurants, serves Chinese cuisine and is open for breakfast, lunch, and dinner. This upscale hotel also features a bar/lounge, a fitness center, and a seasonal outdoor pool. Fellow travelers say good things about the helpful staff and location. Public transportation is close by: Takanawadai Station is just 5 minutes by foot.   '"
919,Kyoto Brighton Hotel,"b'Kyoto Brighton Hotel puts you just a 5-minute drive from Nij\xc5\x8d Castle and Nishiki Market. For a bite to eat, guests can check out Terrace restaurant FEERIE, one of 4 restaurants, which serves breakfast. This luxurious hotel is also just a 5-minute drive from Kawaramachi Street and Kyoto University. Fellow travelers love the helpful staff and spacious guestrooms. Public transportation is just a short walk: Imadegawa Station is 11 minutes and Marutamachi Station is 13 minutes.   '"
4174,Hotel New Otani Hakata,"b""Just 3.1 mi (5 km) from the airport, Hotel New Otani Hakata puts you just a 5-minute drive from Canal City Hakata and Port of Hakata. Guests looking for a bite to eat can check out Sembazuru, which serves Japanese cuisine and is open for lunch and dinner. This upscale hotel is also within a short drive of Marine Messe Fukuoka and PayPay Dome. Fellow travelers like that it's only a short walk to public transportation: Watanabe-dori Station is steps away and Tenjin-minami Station is 8 minutes. """
4935,"The Bellevue Hotel, in The Unbound Collection by Hyatt","b""When you stay at The Bellevue Hotel, in The Unbound Collection by Hyatt, you'll be within a 15-minute walk of Rittenhouse Square and Pennsylvania Convention Center. Guests can visit the 24-hour fitness center for a workout or grab a bite to eat at XIX (NINETEEN) Restaurant, which serves breakfast, lunch, and dinner. Other highlights at this luxurious hotel include a bar/lounge and a terrace. Fellow travelers say good things about the helpful staff and location. The property is just a short walk to public transportation: Walnut Locust Station is steps away and 15th-16th & Locust Station is 4 minutes.   """
6621,Hotel Okura Kyoto,"b""Hotel Okura Kyoto offers a great location, putting you within a 15-minute walk of Nishiki Market and Kawaramachi Street. For a bite to eat, guests can check out Irifune, one of 5 restaurants, which serves Japanese cuisine and is open for breakfast, lunch, and dinner. This luxurious hotel is also just a 5-minute drive from Kiyomizu Temple and Nij\xc5\x8d Castle. Fellow travelers like that it's only a short walk to public transportation: Shiyakusho-mae Station is steps away and Sanjo Keihan Station is 8 minutes. """
6980,Kyoto Tokyu Hotel,"b""At Kyoto Tokyu Hotel, you'll be just a 5-minute drive from Kiyomizu Temple and Nishiki Market. Guests can visit the fitness center for a workout or grab a bite to eat at KAZAHANA, one of 3 restaurants, which serves international cuisine and is open for breakfast, lunch, and dinner. This upscale hotel also features a bar/lounge, a terrace, and a garden. Fellow travelers say great things about the helpful staff and breakfast. Public transportation is just a short walk: Gojo Station is 9 minutes and Tanbaguchi Station is 14 minutes.   """
7063,Kobe Portopia Hotel,"b""Located 2.6 mi (4.2 km) from the airport, Kobe Portopia Hotel puts you 0.8 mi (1.3 km) from Port of Kobe and 3.1 mi (4.9 km) from Kobe Harborland. Guests can visit the spa to be pampered with hot stone massages, aromatherapy, or Ayurvedic treatments, and Tajima, one of 9 restaurants, serves Japanese cuisine and is open for lunch and dinner. Other highlights at this luxurious hotel include 2 bars/lounges, an indoor pool, and a health club. Fellow travelers like that it's only a short walk to public transportation: Shiminhiroba Station is steps away and Minatojima Station is 7 minutes. """
7206,Rose Hotel Yokohama,"b'Rose Hotel Yokohama puts you within a 15-minute drive of Tokyo Bay and Yokohama Arena. You can relax with a drink at the bar/lounge, and the 3 restaurants are nice spots to grab a bite to eat. Also, this hotel is 0.5 mi (0.8 km) from Yokohama Stadium and 1.4 mi (2.2 km) from Pacifico Yokohama. Fellow travelers love the helpful staff. The property is just a short walk to public transportation: Motomachi-Chukagai station is 5 minutes and Nihon-odori Station is 8 minutes.   '"
8375,Naha Tokyu REI Hotel,"b""Located 3.1 mi (4.9 km) from the airport, Naha Tokyu REI Hotel puts you 0.2 mi (0.4 km) from Kokusai Dori and 1.4 mi (2.2 km) from Tomari Port. You'll have free perks like WiFi and wired Internet. Also, this hotel is 3.7 mi (6 km) from Shurijo Castle. Fellow travelers like that it's just a short walk to public transportation: Asahibashi Station is 5 minutes away and Tsubogawa Station is 6 minutes. """
