gaiaId,fullName
89,Japan
1465,"Hiroshima, Hiroshima Prefecture, Japan"
1635,"Ishigaki, Okinawa Prefecture, Japan"
1772,"Kochi, Kochi Prefecture, Japan"
1818,"Niigata, Niigata Prefecture, Japan"
1838,"Kitakyushu, Fukuoka Prefecture, Japan"
1858,"Kumamoto, Kumamoto Prefecture, Japan"
1884,"Kagoshima, Kagoshima Prefecture, Japan"
2368,"Miyakojima, Okinawa Prefecture, Japan"
2489,"Matsuyama, Ehime Prefecture, Japan"
2554,"Nagoya, Aichi Prefecture, Japan"
2555,"Nagasaki, Nagasaki Prefecture, Japan"
2655,"Naha, Okinawa Prefecture, Japan"
2697,"Osaka, Osaka Prefecture, Japan"
3110,"Sendai, Miyagi Prefecture, Japan"
3250,"Sapporo, Hokkaido Prefecture, Japan"
3363,"Takamatsu, Kagawa Prefecture, Japan"
3553,"Tottori, Tottori Prefecture, Japan"
3593,"Tokyo, Tokyo Prefecture, Japan"
3944,"Yonago, Tottori Prefecture, Japan"
6402,"Beppu, Oita Prefecture, Japan"
8900,"Narita, Chiba Prefecture, Japan"
9299,"Kanazawa, Ishikawa Prefecture, Japan"
9305,"Kawaguchi, Saitama Prefecture, Japan"
9314,"Kurashiki, Okayama Prefecture, Japan"
9346,"Sasebo, Nagasaki Prefecture, Japan"
9559,"Utsunomiya, Tochigi Prefecture, Japan"
10180,"Kobe, Hyogo Prefecture, Japan"
10323,"Kyoto, Kyoto Prefecture, Japan"
10593,"Yokohama, Kanagawa Prefecture, Japan"
10805,"Okinawa Island, Okinawa Prefecture, Japan"
55383,"Omiya, Saitama, Saitama Prefecture, Japan"
179165,"Shinagawa, Tokyo, Tokyo Prefecture, Japan"
179167,"Shibuya, Tokyo, Tokyo Prefecture, Japan"
179168,"Shinjuku, Tokyo, Tokyo Prefecture, Japan"
179200,"Kawasaki, Kanagawa Prefecture, Japan"
179212,"Nagaoka, Niigata Prefecture, Japan"
180009,"Kyoto Prefecture, Japan"
182159,"Onna, Okinawa Prefecture, Japan"
503084,"Tokyo Disneyland�, Urayasu, Chiba Prefecture, Japan"
503111,"Tokyo Dome, Tokyo, Tokyo Prefecture, Japan"
503112,"Yokohama Stadium, Yokohama, Kanagawa Prefecture, Japan"
602177,"Hakuba, Nagano Prefecture, Japan"
4279119,"Naha, Japan (OKA)"
4476488,"Tokyo, Japan (HND-Haneda)"
4937030,"Fukuoka, Japan (FUK)"
5461059,"Sapporo, Japan (CTS-New Chitose)"
5526094,"Tokyo, Japan (NRT-Narita Intl.)"
5785931,"Osaka, Japan (KIX-Kansai Intl.)"
6023780,"Otaru, Hokkaido Prefecture, Japan"
6028305,"Hiroshima, Japan (HIJ)"
6028319,"Hakodate, Japan (HKD)"
6028677,"Ishigaki, Japan (ISG-Painushima)"
6028703,"Osaka, Japan (ITM-Itami)"
6029148,"Niigata, Japan (KIJ)"
6029184,"Kitakyushu, Japan (KKJ)"
6029232,"Kumamoto, Japan (KMJ)"
6029276,"Kagoshima, Japan (KOJ)"
6030432,"Matsuyama, Japan (MYJ)"
6030548,"Nagasaki, Japan (NGS)"
6030792,"Oita, Japan (OIT)"
6031781,"Sendai, Japan (SDJ)"
6032267,"Takamatsu, Japan (TAK)"
6032611,"Tottori, Japan (TTJ)"
6046803,"Nagoya, Japan (NGO-Chubu Centrair Intl.)"
6048115,"Himeji, Hyogo Prefecture, Japan"
6048153,"Okinawa Prefecture, Japan"
6048192,"Takayama, Gifu Prefecture, Japan"
6048226,"Saitama, Saitama Prefecture, Japan"
6048237,"Ginza, Tokyo, Tokyo Prefecture, Japan"
6048261,"Minatomirai, Yokohama, Kanagawa Prefecture, Japan"
6048365,"Kamakura, Kanagawa Prefecture, Japan"
6050891,"Umeda, Osaka, Osaka Prefecture, Japan"
6050895,"Namba, Osaka, Osaka Prefecture, Japan"
6053621,"Kawagoe, Saitama Prefecture, Japan"
6053686,"Niigata Prefecture, Japan"
6053689,"Nagano Prefecture, Japan"
6053699,"Matsumoto, Nagano Prefecture, Japan"
6053883,"Hiroshima Prefecture, Japan"
6053886,"Tottori Prefecture, Japan"
6053893,"Fukuoka Prefecture, Japan"
6053894,"Kagoshima Prefecture, Japan"
6053895,"Kumamoto Prefecture, Japan"
6053897,"Nagasaki Prefecture, Japan"
