gaiaId,fullName
6359514,"Changi, Singapore, Singapore"
6005085,"Chinatown, Singapore, Singapore"
502825,"Jurong Bird Park, Singapore, Singapore"
6005088,"Jurong, Singapore, Singapore"
6347789,"Kranji, Singapore, Singapore"
6211365,"Marina Bay Sands Casino, Singapore, Singapore"
6047873,"Marina Bay, Singapore, Singapore"
6220571,"Novena Medical Centre, Singapore, Singapore"
6211330,"Novena, Singapore, Singapore"
6220575,"Seletar Reservoir Park, Singapore, Singapore"
6047875,"Sentosa Island, Singapore, Singapore"
161,Singapore
3168,"Singapore, Singapore"
5130579,"Singapore, Singapore (SIN-Changi)"
6033338,"Singapore, Singapore (XSP-Seletar)"
6005098,"Tampines, Singapore, Singapore"
6005099,"Yishun, Singapore, Singapore"
