3051,Concorde Hotel Singapore,"Concorde Hotel Singapore  puts you just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. After visiting the fitness center for a workout, you can grab a bite to eat at the coffee shop/cafe or unwind with a drink at one of the 3 bars/lounges. Other highlights at this upscale hotel include an outdoor pool and a poolside bar. Public transportation is just a short walk: Dhoby Ghaut Station is 5 minutes and Somerset Station is 8 minutes.   "
4173,Goodwood Park Hotel,"Goodwood Park Hotel puts you within a 10-minute drive of Orchard Road and Marina Bay Sands Casino. After a dip in one of 2 outdoor pools, guests can grab a bite to eat at Coffee Lounge, one of 4 restaurants, which serves local cuisine and is open for breakfast, lunch, and dinner. A bar/lounge, a fitness center, and a children's pool are other highlights at this luxurious hotel. Public transportation is just a short walk: Orchard Station is 7 minutes and Newton Station is 10 minutes.   "
6152,"Holiday Inn Singapore Orchard City Centre, an IHG Hotel","Putting you just a 5-minute drive from Orchard Road and Bugis Street Shopping District, Holiday Inn Singapore Orchard City Centre, an IHG Hotel offers an airport shuttle (available 24 hours) for SGD 86 per vehicle. The 2 restaurants are perfect spots to grab a bite to eat, and you can unwind with a drink at the bar/lounge or visit the sauna for a relaxing end to the day. This upscale hotel also features an outdoor pool, a fitness center, and a steam room. The property is just a short walk to public transportation: Somerset Station is 7 minutes and Dhoby Ghaut Station is 9 minutes.   "
7062,JEN Singapore Tanglin by Shangri-La,"JEN Singapore Tanglin by Shangri-La puts you within a 10-minute drive of Orchard Road and Marina Bay Sands Casino. You can visit the spa to be pampered with deep-tissue massages, body wraps, or aromatherapy, and J65, one of 2 restaurants, serves breakfast, lunch, and dinner. Other features of this upscale hotel include an outdoor pool, a poolside bar, and a fitness center. The pool and overall property condition get good marks from fellow travelers. Public transportation is just a short walk: Orchard Boulevard Station is 3 minutes and Napier Station is 8 minutes.   "
12307,"InterContinental Singapore, an IHG Hotel","At InterContinental Singapore, an IHG Hotel, you'll be just a 5-minute drive from Marina Bay Sands Casino and Orchard Road. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Man Fu Yuan, one of 2 restaurants, which serves Chinese cuisine and is open for lunch and dinner. A bar/lounge, a fitness center, and a steam room are other highlights at this luxurious hotel. Public transportation is just a short walk: Bugis Station is 5 minutes and Esplanade Station is 7 minutes.   "
14978,Days Inn by Wyndham Jacksonville NC,"Days Inn by Wyndham Jacksonville NC puts you 5.8 mi (9.4 km) from Camp Lejeune Main Gate and Visitor Center. The seasonal outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at El Cerro Grande, which serves Mexican cuisine and is open for lunch and dinner.   "
19078,Hilton Singapore Orchard,"Putting you just a 5-minute drive from Orchard Road and Bugis Street Shopping District, Hilton Singapore Orchard offers an airport shuttle (available 24 hours) for SGD 120 per vehicle. You can splash around at the outdoor pool, visit one of the 5 restaurants for a bite to eat, or unwind with a drink at the bar/lounge. This luxurious hotel is also within a short drive of Marina Bay Sands Casino and Marina Bay Street Circuit. Public transportation is just a short walk: Somerset Station is 6 minutes and Orchard Station is 7 minutes.   "
21677,Four Seasons Hotel Singapore,"Putting you within a 10-minute drive of Orchard Road and Marina Bay Sands Casino, Four Seasons Hotel Singapore offers an airport shuttle (available 24 hours) for SGD 150 per vehicle. Guests can visit the spa to be pampered with deep-tissue massages, body wraps, or facials, and Nobu Singapore, one of 5 restaurants, serves lunch and dinner. Other highlights at this luxurious hotel include 2 outdoor pools, a bar/lounge, and a 24-hour fitness center. Public transportation is just a short walk: Orchard Station is 6 minutes and Orchard Boulevard Station is 8 minutes.   "
23122,Furama City Centre,"Putting you just a 5-minute drive from Marina Bay Sands Casino and Orchard Road, Furama City Centre offers an airport shuttle (available 24 hours) for SGD 105.93 per vehicle. After splashing around at the outdoor pool, you can grab a bite to eat at the coffee shop/cafe or unwind with a drink at the bar/lounge. This upscale hotel is also just a 5-minute drive from Bugis Street Shopping District and Marina Bay Sands Skypark. The overall property condition and breakfast get good marks from fellow travelers. The property is just a short walk to public transportation: Clarke Quay Station is 4 minutes and Chinatown Station is 5 minutes.   "
41139,Conrad Centennial Singapore,"Putting you just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Street Circuit, Conrad Centennial Singapore offers airport drop-off service (available 24 hours) for SGD 180 per vehicle. Guests can visit the spa to be pampered with deep-tissue massages, body wraps, or facials, and Oscars, one of 4 restaurants, serves international cuisine and is open for breakfast, lunch, and dinner. Other highlights at this luxurious hotel include an outdoor pool, a poolside bar, and a 24-hour fitness center. Fellow travelers love the overall property condition. The property is just a short walk to public transportation: Promena Station is 4 minutes and Esplanade Station is 6 minutes.   "
46745,Garden,"At Garden, you'll be just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Also, Marina Bay Sands Casino and Gardens by the Bay are within a short drive. Public transportation is close by: Newton Station is just 13 minutes by foot.   "
46752,"Four Points by Sheraton Singapore, Riverview","When you stay at Four Points by Sheraton Singapore, Riverview, you'll be just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. Guests can take a dip in the outdoor pool or grab a bite to eat at Four Points Eatery, which is one of 3 restaurants and serves breakfast, lunch, and dinner. This upscale hotel also features a bar/lounge, a 24-hour fitness center, and a fitness center. The property is just a short walk to public transportation: Havelock Station is 6 minutes and Great World Station is 13 minutes.   "
